[*] '/home/sense/Desktop/Lab03/gotoku.local'
    Arch:     amd64-64-little
    RELRO:    Partial RELRO
    Stack:    No canary found
    NX:       NX enabled
    PIE:      PIE enabled
main = 0x16ba0
Func         GOT Offset Symbol Offset
gop_215      1cae0      155f0     
gop_216      1b868      13100     
gop_217      1cb60      156f0     
gop_218      1b880      13130     
gop_219      1cb68      15700     
gop_220      1c568      14b00     
gop_221      1b220      12470     
gop_222      1c578      14b20     
gop_223      1b238      124a0     
gop_224      1c4f8      14a20     
gop_225      1b360      126f0     
gop_226      1c650      14cd0     
gop_227      1b310      12650     
gop_228      1c668      14d00     
gop_229      1b368      12700     
gop_230      1d3a8      16780     
gop_231      1c0b0      14190     
gop_232      1d340      166b0     
gop_233      1c0b8      141a0     
gop_234      1d368      16700     
gop_235      1c048      140c0     
gop_236      1d4a0      16970     
gop_237      1c170      14310     
gop_238      1d440      168b0     
gop_239      1c180      14330     
gop_240      1bbb0      13790     
gop_241      1ceb0      15d90     
gop_242      1bbd8      137e0     
gop_243      1ce48      15cc0     
gop_244      1bc10      13850     
gop_245      1ce68      15d3c     
gop_246      1bb80      13730     
gop_247      1d010      16050     
gop_248      1bcf0      13a10     
gop_249      1cfa0      15f70     
gop_250      1cb20      15670     
gop_251      1b748      12ec0     
gop_252      1ca10      15450     
gop_253      1b768      12f00     
gop_254      1c9b8      153a0     
gop_255      1b778      12f20     
gop_256      1c9c8      153c0     
gop_257      1b710      12e50     
gop_258      1cb30      15690     
gop_259      1b840      130b0     
gop_260      1d420      16870     
gop_261      1c198      14360     
gop_262      1d4a8      16980     
gop_263      1c178      14320     
gop_264      1d468      16900     
gop_265      1c188      14340     
gop_266      1d448      168c0     
gop_267      1c160      142f0     
gop_268      1d510      16a50     
gop_269      1c218      14460     
gop_270      1bd28      13a80     
gop_271      1d048      160c0     
gop_272      1bd10      13a50     
gop_273      1cff8      16020     
gop_274      1bd18      13a60     
gop_275      1cfd0      15fd0     
gop_276      1bce0      139f0     
gop_277      1d090      16150     
gop_278      1bdb8      13ba0     
gop_279      1cfc8      15fc0     
gop_280      1cb50      156d0     
gop_281      1b850      130d0     
gop_282      1cb08      15640     
gop_283      1b870      13110     
gop_284      1caf0      15610     
gop_285      1b830      13090     
gop_286      1cb80      15730     
gop_287      1b8e8      13200     
gop_288      1cae8      15600     
gop_289      1b8d8      131e0     
gop_290      1b338      126a0     
gop_291      1c648      14cc0     
gop_292      1b350      126d0     
gop_293      1c628      14c80     
gop_294      1b328      12680     
gop_295      1c6d0      14dd0     
gop_296      1b410      12850     
gop_297      1c618      14c60     
gop_298      1b3f8      12820     
gop_299      1c718      14e60     
gop_300      1cd30      15a90     
gop_301      1bbf8      13820     
gop_302      1ce98      15d60     
gop_303      1bb78      13720     
gop_304      1ced8      15de0     
gop_305      1bc38      138a0     
gop_306      1cef8      15e20     
gop_307      1bc50      138d0     
gop_308      1ceb8      15da0     
gop_309      1b9d0      133d0     
gop_310      1bf60      13ef0     
gop_311      1d2a8      16580     
gop_312      1bf90      13f50     
gop_313      1d240      164b0     
gop_314      1c0d0      141d0     
gop_315      1d390      16750     
gop_316      1c068      14100     
gop_317      1d3b8      167a0     
gop_318      1c0e0      141f0     
gop_319      1d3e8      16800     
gop_320      1b168      12300     
gop_321      1c408      14840     
gop_322      1b0c0      121b0     
gop_323      1c590      14b50     
gop_324      1b258      124e0     
gop_325      1c500      14a30     
gop_326      1b278      12520     
gop_327      1c5a0      14b70     
gop_328      1b2b8      125a0     
gop_329      1c5b8      14ba0     
gop_330      1c8d8      151e0     
gop_331      1b580      12b30     
gop_332      1c8f8      15220     
gop_333      1b5a0      12b70     
gop_334      1c848      150c0     
gop_335      1b788      12f40     
gop_336      1ca00      15430     
gop_337      1b720      12e70     
gop_338      1ca20      15470     
gop_339      1b7b0      12f90     
gop_340      1baa8      13580     
gop_341      1cd98      15b60     
gop_342      1ba38      134a0     
gop_343      1cdd8      15be0     
gop_344      1ba50      134d0     
gop_345      1cd28      15a80     
gop_346      1bbf0      13810     
gop_347      1ce90      15d50     
gop_348      1bb70      13710     
gop_349      1ced0      15dd0     
gop_350      1d280      16530     
gop_351      1bfb8      13fa0     
gop_352      1d298      16560     
gop_353      1bf58      13ee0     
gop_354      1d2a0      16570     
gop_355      1bf88      13f40     
gop_356      1d238      164a0     
gop_357      1c0c8      141c0     
gop_358      1d388      16740     
gop_359      1c060      140f0     
gop_360      1c558      14ae0     
gop_361      1b108      12240     
gop_362      1c448      148c0     
gop_363      1b138      122a0     
gop_364      1c3c0      147b0     
gop_365      1b160      122f0     
gop_366      1c400      14830     
gop_367      1b0b8      121a0     
gop_368      1c588      14b40     
gop_369      1b250      124d0     
gop_370      1b200      12430     
gop_371      1c580      14b30     
gop_372      1b298      12560     
gop_373      1c548      14ac0     
gop_374      1b248      124c0     
gop_375      1c570      14b10     
gop_376      1b228      12480     
gop_377      1c530      14a90     
gop_378      1b2f0      12610     
gop_379      1c608      14c40     
gop_380      1ca30      15490     
gop_381      1b7a0      12f70     
gop_382      1ca08      15440     
gop_383      1b758      12ee0     
gop_384      1ca28      15480     
gop_385      1b730      12e90     
gop_386      1c9f0      15410     
gop_387      1b7e0      12ff0     
gop_388      1cac8      155c0     
gop_389      1b728      12e80     
gop_390      1bc20      13870     
gop_391      1cec0      15db0     
gop_392      1bbc8      137c0     
gop_393      1cec8      15dc0     
gop_394      1bba0      13770     
gop_395      1ce80      15d30     
gop_396      1bc90      13950     
gop_397      1cf98      15f60     
gop_398      1bb90      13750     
gop_399      1cf90      15f50     
gop_400      1cbe0      157f0     
gop_401      1b8f8      13220     
gop_402      1cdb0      15b90     
gop_403      1ba98      13560     
gop_404      1cd18      15a60     
gop_405      1bac8      135c0     
gop_406      1ce08      15c40     
gop_407      1bb00      13630     
gop_408      1ce18      15c60     
gop_409      1bab0      13590     
gop_410      1b420      12870     
gop_411      1c908      15240     
